City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,barpali,21.2,83.5833,19.34,30,3,1.21,IN,1676080299
349,nanchang,28.6833,115.8833,9.53,89,100,1.76,CN,1676080299
350,lashma,54.9321,41.1438,-3.83,91,100,5.11,RU,1676080300
351,iqaluit,63.7506,-68.5145,-35.15,66,0,2.57,CA,1676080300
352,mikuni,36.2171,136.1519,8.95,62,35,6.23,JP,1676080301
353,taoudenni,22.6783,-3.9836,21.43,15,100,10.03,ML,1676080301
354,miri,4.4148,114.0089,27.08,83,40,1.54,MY,1676080302
355,stroud,51.75,-2.2,9.11,92,100,1.88,GB,1676080303
356,huallanca,-9.8993,-76.9417,10.21,85,100,1.45,PE,1676080303
357,kailua,21.4022,-157.7394,27.99,65,40,8.75,US,1676080304
358,aksarka,66.5606,67.7975,-12.85,98,76,4.15,RU,1676080305
359,tura,25.5198,90.2201,18.56,54,1,0.88,IN,1676080014
360,yarada,17.65,83.2667,21.18,100,40,1.03,IN,1676080306
361,bethel,41.3712,-73.414,8.3,60,20,2.57,US,1676080306
362,curanilahue,-37.4667,-73.35,12.99,75,0,3.25,CL,1676080307
